	Name	Twitter_Tweets	Twitter_Following	Twitter_Followers	Twitter_Likes	Facebook_Likes	Facebook_Followers	Telegram_Members	Google_Search_Results
0.0	Cindicator	2063	19	38700	347	5371	5956	7 960	230000
0.0	Viberate	1202	2037	36000	219	128392	130707	5 252	218000
0.0	Flixxo	308	786	6381	28	10176	10231	4 416	5
0.0	Pally	413	812	1116	122	6419	6465	449	684
0.0	BANER	29	1	279	2	283	294		1200000
0.0	IQeon					27838	28093	4 304	4170000
0.0	Fortknoxster	407	236	2975	209	2355	2420	2 596	13700
0.0	ICON	361	11	108000	168	6384	7477	21 446	78700
0.0	Solve.Care	294	2703	3543	70	2897	3054	28 636	295
0.0	BPC Platform	40	42	211	20	2922	2951	215	184000
0.0	Simple Token	1		49				301	878000
0.0	Naviaddress	198	573	10400	82	4784	4820	95 127	104000
0.0	Retainly	1174	11200	15600	463	4370	4535	17 353	10300
0.0	STeX					1911	2083	186	170
0.0	Zonto	144	7	3762	78	1365	1451		244
0.0	Graft Blockchain	332	101	2757	87			5 614	215000
0.0	VerifyUnion	303	4087	3831	158	1938	1974		35800
0.0	DropDeck	330	631	3205	85	2414	2501	538	46
0.0	BlockEx	1326	35	2166	246	578	622	5 725	651000
0.0	Hurify	1933	1337	12100	53	30162	31362		99200
0.0	ESR Wallet							1 053	374000
0.0	Nova Blitz	2409	177	2004	1843	1865	1861	982	442000
0.0	MARK.SPACE	148	5	2981	82	3649	3827	6 148	523
0.0	CarTaxi							1 526	182000
0.0	Refereum	958	339	55200	1042	38423	49442	125 604	172000
0.0	SyncFab	957	3676	8393	17600	8228	8380	9 728	155000
0.0	Lamden	390	277	12400	320	3295	3502	1 468	287
0.0	Gatcoin	445	133	4417	49	1880	2028	3 879	9400000
0.0	Repux	240	76	2999	126	4699	4930	8 156	505000
0.0	EQUI	586	149	3229	242	2971	3157	12 847	511
0.0	LiveEdu	55700	6129	9282	7405	20053	20113	14 270	502000
0.0	Javvy	309	6295	7423	318	610	620	24	2230
0.0	VISO	129	789	6956	547	6181	6346	8 021	103
0.0	CanYa	7		1380				3 631	626
0.0	Skrumble Network	2476	1747	2064	1408	5525	5547	50 410	192000
0.0	LAToken	557	295	8636	801	33999	35024	5 724	247000
0.0	Bankera	2384	501	25600	2092			20 370	418000
0.0	CIBUS	183	105	14700	12				303
0.0	iziBits		63	23	4	50	58	37	3210
0.0	Game Machine	185	26	849	12	15954	16303	1 612	570000
0.0	Bowhead Health	226	111	1868	43	1165	1271	941	131000
0.0	ATLANT	174	57	4166	16	13148	13590	4 926	1320
0.0	IMMLA	119	18	757	1	8272	8358	795	553000
0.0	ModulTrade	203	545	1719	35	8633	8724	3 500	26200
0.0	Pocketinns	260	13	1651	28	2615	2646		40000
0.0	Gimmer	758	2004	4909	4860	16271	16416		1500
0.0	Kora Network	182	49	11100	33	8923	9286	1 845	1220
0.0	SHIFT.cash	110	13	2143		4980	5249	2 755	98800
0.0	Lordmancer II	169	156	967	60	1205	1291	485	136000
0.0	ATBcoin	345	131	2888		18825	19731	2 093	310000
0.0	Propy	888	439	10400	1042	7096	7446	3 735	801000
0.0	HUNT.BET					753	778		449000
0.0	BitDegree	856	36	20600	4197	81104	81949	16 164	147000
0.0	TradePlayz	295	427	15900	185	9774	12680	16 771	6670
0.0	NeuroChain	452	496	2501	96	332	360	6 592	97500
0.0	SKARA	5022	758	4787	6552	127856	127573	933	381
0.0	Exchange Union	394	5038	13000	692				530000
0.0	Crypterium	1081	524	16500	409	33071	34953	32 377	199000
0.0	Blockbid	708	2993	2843	1194	5933	6031	3 599	32700
0.0	Goal Bonanza			8		11940	11988	1 810	377000
0.0	VIOLA.AI	672	184	1454	119	3715	3846	23 033	480000
0.0	Viewly	195	230	1315	399	963	992	231	128000
0.0	Requitix	292	1920	2998	21				10800
0.0	On.Live	139	11	3518	65	6274	6352	37 273	12400000
0.0	Velix.ID	461	568	5744	2154	9927	10099	21 040	129000
0.0	e-Chat	144		5180	2	47233	47615	4 187	1620
0.0	Beeqb	80	490	743	8	344	384	75	3930
0.0	BaapPay	76	8	667	17	5233	5252		82600
0.0	Eligma	535	309	8044	558	165904	166173	7 314	3
0.0	Lendingblock	355	4796	6571	492	265	298	7 478	143000
0.0	Digital Developers Fund	72	1914	1835	19	1014	1073	1 137	22800
0.0	Change Bank	290	11	7312	71	15066	15697	3 887	1220000
0.0	BeEasy	65	29	953	6	218	251	164	139000
0.0	Dorado	110	241	2480	22			9 630	235
0.0	Brickblock	851	339	30700	2484			27 896	211000
0.0	Data Trading	45	108	310	12	1817	1861	942	2400000
0.0	Cryptobnb	304	476	5648	88			20 922	84100
0.0	ConnectJob	121	27	6289	85	25082	25182		118000
0.0	Giftcoin	183	191	1942	123	6376	6454	2 540	1210
0.0	WELL	462	1326	2407	577	7843	8154	14 841	3640
0.0	Flashmoni	247	746	9040	3568	7545	7993	1 683	54400
0.0	Verasity	853	247	11600	522	282961	283224	48 793	651
0.0	ADPUMP	181	4763	1911	46	171	185	684	59300
0.0	Sharpay	178		2819	105	3995	4108	5 065	111
0.0	Foxtrading	1699	157	13200	181	3380	3414		320000
0.0	The Memessenger	23	3	220				446	614000
0.0	Godzillion	568	517	684	964	712	728	171	64900
0.0	UDIAR	73	48	391	351	1584	1610		1480000
0.0	Snovio	575	16	10700	536	46956	47186	18 139	175000
0.0	Credits	1057	150	57500	875	54349	58556	82 506	368000
0.0	CoinPoker	1153	60	4736	901	30429	31042	4 888	145000
0.0	Node	153	165	3228	2	5784	5850	1 433	19000
0.0	Savedroid	1280	564	9533	3319	15353	16179	44 510	71600
0.0	Vezt	846	163	5255	1358				4610000
0.0	VALID								3040000
0.0	amon	121	43	2487	35			6 611	4310
0.0	Invacio	1410	1920	3738	846	9862	10017	10	189000
0.0	GIFCoin	136	66	2356	69	6655	6796	5 285	149000
0.0	LESCOVEX	315	185	1316	247	1367	1375	640	18300
0.0	Authoreon	125	310	5006		2963	3262	960	546000
0.0	ETHLend	817	2120	46700	398	25038	25750	18 554	246000
0.0	European Crypto Bank	437	4133	8859	612	7277	7643	6 096	1130000
0.0	Dimcoin					55398	55857	3 216	161000
0.0	ErosCoin	103	67	1707	99	16809	16991	654	1030000
0.0	Cryptopus	107	28	1305	32	60	68	2 043	34000
0.0	Beluga Pay	203	2	3630	52	3136	3370	13 397	347
0.0	Triwer	78	1435	12500	41	11081	11557	84 195	7370000
0.0	DataBrokerDAO	725	2230	4101	486	3532	3678	12 422	56600
0.0	Devnetwork	78	126	135	12	10841	10852	593	2410
0.0	aldoin	8		19		405	423		143000
0.0	iBuildApp Network	1964	56	4068	52	28605	28449		16500
0.0	SMSchain	156	173	445	79	1451	1571	1 081	2140
0.0	Ellcrys	102	6	3849	2	27236	27495	3 229	8
0.0	Open Source University	726	651	1860	859	5268	5322	51 476	295000
0.0	Ponder	1426	1631	1240	2963	2734	2715	18 421	9
0.0	BestMeta	165	313	15600	191	2356	2396	10 057	39600
0.0	CyberTrust	109	667	1574	97	5267	5298	1 317	146000
0.0	TeleX AI	89	472	513	360	224	239	576	175000
0.0	Morpheus Network	269	1685	6421	122	8477	8617	12 655	160000
0.0	LakeBanker	261	188	316	197	110	123		133000
0.0	WandX	885	3011	4126	694	2881	2906		156000
0.0	Smartone	120	24	1388	74	306	336	636	46
0.0	Cashaa	1020	101	11400	4736	16063	16734	7 291	181000
0.0	RightMesh	840	2659	27600	8145	715	778	6 631	409000
0.0	Bitcoin White					15	18	15 080	874
0.0	Presearch	2		38		4610	4893		183000
0.0	HydroMiner	124	89	3403	44	8445	8779	2 708	42700
0.0	Bitcomo							3 830	1 result
0.0	Tokenomy	1	1	55		5954	6187	4 473	159000
0.0	CloudMoolah	216	196	1311	179	1630	1692	19 011	49500
0.0	DIW Token	217	169	7213	70	5972	6231	37 627	83900
0.0	MediBloc	419	59	8493	1028	115501	116080	5 580	187000
0.0	Ccore	259	206	3316	615	1793	1846	1 912	690
0.0	Stater								22
0.0	Paymon	242	16	9325	109	6689	7432	9 114	345
0.0	Epocum	88	44	3713	136	1158	1169	3 215	
0.0	Fiancia	75	20	10000	185	9680	10158		5030000
0.0	Iconiq Lab	370	111	26100	370	1621	1684	29 035	30800
0.0	QYKBAR	102	17	1226	1				74400
0.0	Merculet	153	5	32000	2	3026	3188	12 169	130000
0.0	Photochain	670	45	5417	612	22245	22308	39 071	103000
0.0	Vaultbank					1968	2026	1 923	64500
0.0	EMU project	87	37	421	35	774	774	968	3970
0.0	Elementh	488	11	6522	122	5044	5509	32 803	395000
